,fecha,portero_l,defensas_l,centrocampistas_l,delanteros_l,alineacion_l,local,Resultado_l,gol_l,gol_v,Resultado_v,visitante,alineacion_v,portero_v,defensas_v,centrocampistas_v,delanteros_v,victorias_l,empates,victorias_v
0,2019-08-16,77.17,68.2,70.72,46.58,4-2-3-1,ATHLETIC,G,1,0,P,BARCELONA,4-3-3,86.33,68.78,71.94,76.11,75,38,114
1,2019-08-17,73.17,62.0,68.67,73.33,4-4-2,CELTA,P,1,3,G,REAL MADRID,4-3-3,81.5,71.67,73.67,74.67,34,20,68
2,2019-08-17,79.0,67.25,73.0,72.33,4-4-2,VALENCIA,E,1,1,E,R. SOCIEDAD,4-2-3-1,74.0,62.38,74.33,69.67,67,36,49
3,2019-08-17,68.17,58.58,63.5,56.0,4-5-1,MALLORCA,G,2,1,P,EIBAR,4-4-2,75.0,61.22,66.08,64.62,8,3,3
4,2019-08-17,72.02,59.17,62.92,67.17,3-5-2,LEGANES,P,0,1,G,OSASUNA,4-5-1,72.67,61.38,66.92,68.25,7,4,7
5,2019-08-17,75.33,63.75,61.17,71.33,4-2-3-1,VILLARREAL,E,4,4,E,GRANADA,4-2-3-1,76.83,59.42,64.67,66.08,7,4,3
6,2019-08-18,78.5,60.54,65.92,62.26,4-3-3,DEPORTIVO ALAVES,G,1,0,P,LEVANTE,4-4-2,79.0,65.54,69.79,66.0,13,4,6
7,2019-08-18,72.67,62.4,70.5,64.75,4-4-2,ESPANYOL,P,0,2,G,SEVILLA,4-3-3,78.17,72.0,69.06,70.44,53,33,78
8,2019-08-18,71.67,68.08,68.08,68.06,4-2-3-1,REAL BETIS,P,1,2,G,REAL VALLADOLID,4-4-2,78.17,62.5,62.08,67.06,35,24,24
9,2019-08-18,85.83,66.38,75.06,71.92,4-4-2,ATLETICO,G,1,0,P,GETAFE,4-4-2,77.0,63.03,63.5,58.75,21,8,4
10,2019-08-23,76.83,59.42,64.67,66.08,4-2-3-1,GRANADA,P,0,1,G,SEVILLA,4-2-3-1,78.17,72.0,69.17,70.44,12,13,24
11,2019-08-23,79.0,64.67,71.08,71.42,4-3-3,LEVANTE,G,2,1,P,VILLARREAL,4-4-2,75.33,65.12,61.17,71.33,18,10,25
12,2019-08-24,73.67,61.38,67.28,68.25,4-2-3-1,OSASUNA,E,0,0,E,EIBAR,4-4-2,75.0,62.72,49.33,63.67,16,14,9
13,2019-08-24,81.5,72.71,71.89,75.08,4-3-3,REAL MADRID,E,1,1,E,REAL VALLADOLID,4-4-2,78.17,62.5,61.5,67.0,64,21,16
14,2019-08-24,73.17,60.96,68.67,73.33,4-4-2,CELTA,G,1,0,P,VALENCIA,4-4-2,79.0,70.08,72.44,70.06,34,33,62
15,2019-08-24,77.0,66.87,64.83,59.25,4-4-2,GETAFE,E,1,1,E,ATHLETIC,4-2-3-1,77.17,68.2,69.42,46.58,8,10,10
16,2019-08-25,78.5,60.97,65.92,67.18,4-5-1,DEPORTIVO ALAVES,E,0,0,E,ESPANYOL,4-3-3,72.02,65.08,70.17,72.67,13,7,14
17,2019-08-25,68.17,58.58,63.5,56.0,4-2-3-1,MALLORCA,P,0,1,G,R. SOCIEDAD,4-2-3-1,74.0,62.38,74.33,69.67,24,11,23
18,2019-08-25,72.02,58.33,64.5,67.17,5-3-2,LEGANES,P,0,1,G,ATLETICO,3-5-2,85.83,64.71,75.06,71.92,2,3,7
19,2019-08-25,86.33,68.78,71.58,72.67,4-3-3,BARCELONA,G,5,2,P,REAL BETIS,4-2-3-1,68.33,68.08,71.54,68.75,75,24,29
20,2019-08-30,78.17,72.0,69.17,68.56,4-3-3,SEVILLA,E,1,1,E,CELTA,4-4-2,73.17,60.96,68.67,73.33,51,18,44
21,2019-08-30,77.17,70.75,70.72,53.94,4-2-3-1,ATHLETIC,G,2,0,P,R. SOCIEDAD,4-2-3-1,74.0,66.44,74.33,69.67,67,44,54
22,2019-08-31,72.67,61.38,68.5,71.0,4-2-3-1,OSASUNA,E,2,2,E,BARCELONA,4-3-3,86.33,68.78,71.58,72.67,17,17,50
23,2019-08-31,77.0,66.97,63.33,58.75,4-4-2,GETAFE,E,1,1,E,DEPORTIVO ALAVES,4-5-1,70.67,59.56,65.92,60.67,4,4,6
24,2019-08-31,79.0,65.04,69.83,68.72,4-4-2,LEVANTE,G,2,0,P,REAL VALLADOLID,4-4-2,78.17,62.5,61.5,67.75,11,6,9
25,2019-08-31,71.67,67.54,71.54,66.25,4-2-3-1,REAL BETIS,G,2,1,P,LEGANES,5-3-2,72.02,58.25,67.25,67.17,6,1,5
26,2019-09-01,79.0,63.5,72.61,72.22,4-4-2,VALENCIA,G,2,0,P,MALLORCA,4-2-3-1,68.17,58.58,63.5,56.0,37,14,13
27,2019-09-01,85.83,70.0,75.79,74.17,4-4-2,ATLETICO,G,3,2,P,EIBAR,4-2-3-1,75.0,66.75,53.42,67.67,11,4,1
28,2019-09-01,72.67,65.08,70.17,69.67,4-3-3,ESPANYOL,P,0,3,G,GRANADA,4-2-3-1,76.83,59.42,65.78,68.67,23,12,11
29,2019-09-01,75.33,63.5,61.17,71.33,4-4-2,VILLARREAL,E,2,2,E,REAL MADRID,4-4-2,81.5,73.33,71.33,72.72,4,12,24
30,2019-09-13,68.17,58.58,63.5,56.0,4-2-3-1,MALLORCA,E,0,0,E,ATHLETIC,4-2-3-1,77.17,70.75,70.72,53.94,18,13,29
31,2019-09-14,81.5,73.3,71.33,73.58,4-2-3-1,REAL MADRID,G,3,2,P,LEVANTE,5-3-2,79.0,62.53,69.83,69.92,23,3,4
32,2019-09-14,72.02,59.17,67.25,66.22,4-4-2,LEGANES,P,0,3,G,VILLARREAL,4-4-2,79.67,63.5,61.17,68.56,9,5,11
33,2019-09-14,74.0,65.21,75.5,73.39,4-2-3-1,R. SOCIEDAD,G,2,0,P,ATLETICO,4-4-2,85.83,66.38,75.06,71.25,46,34,76
34,2019-09-14,86.33,68.78,70.75,71.22,4-3-3,BARCELONA,G,5,2,P,VALENCIA,4-4-2,79.0,70.08,72.61,72.22,105,56,59
35,2019-09-15,75.0,66.94,49.5,65.33,4-4-2,EIBAR,P,1,2,G,ESPANYOL,4-3-3,72.67,63.15,70.17,62.25,6,5,5
36,2019-09-15,78.5,58.93,64.0,65.58,4-4-2,DEPORTIVO ALAVES,P,0,1,G,SEVILLA,4-3-3,78.17,72.0,69.06,70.0,8,7,17
37,2019-09-15,73.17,62.46,68.67,72.25,4-4-2,CELTA,P,0,2,G,GRANADA,4-2-3-1,76.83,59.42,65.78,68.67,20,13,14
38,2019-09-15,78.17,62.5,61.5,67.75,4-4-2,REAL VALLADOLID,E,1,1,E,OSASUNA,4-4-2,72.67,61.38,68.5,71.0,27,30,39
39,2019-09-15,71.67,54.62,71.17,65.33,4-2-3-1,REAL BETIS,E,1,1,E,GETAFE,4-4-2,77.0,66.97,64.83,61.72,11,8,9
40,2019-09-20,72.67,61.38,68.5,69.33,4-2-3-1,OSASUNA,E,0,0,E,REAL BETIS,4-2-3-1,71.67,69.79,75.0,63.67,25,12,33
41,2019-09-21,79.67,63.75,61.17,68.56,4-3-3,VILLARREAL,G,2,0,P,REAL VALLADOLID,4-4-2,78.17,55.33,62.08,67.06,10,5,11
42,2019-09-21,79.0,64.46,70.56,68.72,4-4-2,LEVANTE,E,0,0,E,EIBAR,4-2-3-1,75.0,66.94,49.5,67.56,5,16,10
43,2019-09-21,85.83,67.29,73.83,74.83,4-4-2,ATLETICO,E,0,0,E,CELTA,4-3-3,73.17,61.62,71.11,72.25,73,20,28
44,2019-09-21,76.83,59.42,65.08,68.67,4-3-3,GRANADA,G,2,0,P,BARCELONA,4-3-3,86.33,66.0,73.5,73.33,5,5,39
45,2019-09-22,77.0,66.97,64.83,61.72,4-4-2,GETAFE,G,4,2,P,MALLORCA,4-4-2,68.17,61.0,63.5,56.0,9,8,13
46,2019-09-22,72.67,65.08,69.83,67.17,4-3-3,ESPANYOL,P,1,3,G,R. SOCIEDAD,4-2-3-1,74.0,65.21,75.5,71.78,52,44,58
47,2019-09-22,79.0,70.08,72.42,69.5,4-3-3,VALENCIA,E,1,1,E,LEGANES,3-5-2,72.02,59.27,63.42,63.42,6,2,0
48,2019-09-22,77.17,70.75,70.72,55.22,4-2-3-1,ATHLETIC,G,2,0,P,DEPORTIVO ALAVES,4-3-3,78.5,60.07,65.92,62.26,31,10,7
49,2019-09-22,78.17,72.0,67.33,70.0,4-3-3,SEVILLA,P,0,1,G,REAL MADRID,4-3-3,81.5,72.75,71.33,75.44,57,30,99
50,2019-09-24,78.17,62.5,62.58,67.29,4-4-2,REAL VALLADOLID,E,1,1,E,GRANADA,4-4-2,76.83,61.56,63.0,64.92,13,3,16
51,2019-09-24,71.67,57.12,70.39,64.89,4-4-2,REAL BETIS,G,3,1,P,LEVANTE,4-5-1,79.0,61.5,67.33,71.42,20,9,13
52,2019-09-24,86.33,66.0,67.42,78.28,4-3-3,BARCELONA,G,2,1,P,VILLARREAL,4-2-3-1,79.67,63.75,61.17,70.94,25,10,9
53,2019-09-25,72.02,60.11,67.25,60.58,5-3-2,LEGANES,E,1,1,E,ATHLETIC,4-2-3-1,73.67,68.04,63.5,53.94,1,2,3
54,2019-09-25,68.17,61.0,63.5,62.33,4-5-1,MALLORCA,P,0,2,G,ATLETICO,4-4-2,85.83,64.62,74.33,71.25,17,14,26
55,2019-09-25,73.83,64.17,69.92,71.17,4-4-2,VALENCIA,E,3,3,E,GETAFE,4-4-2,77.0,66.97,64.83,61.72,17,6,10
56,2019-09-25,72.02,70.63,72.94,70.92,4-3-3,REAL MADRID,G,2,0,P,OSASUNA,4-4-2,73.67,64.92,66.42,69.25,51,16,13
57,2019-09-26,75.0,62.5,49.5,67.56,4-2-3-1,EIBAR,G,3,2,P,SEVILLA,4-3-3,78.17,70.94,69.06,73.67,3,6,8
58,2019-09-26,73.17,61.62,70.67,72.25,4-4-2,CELTA,E,1,1,E,ESPANYOL,4-4-2,72.02,67.17,64.91,72.67,43,31,57
59,2019-09-26,77.67,64.39,69.75,71.78,4-2-3-1,R. SOCIEDAD,G,3,0,P,DEPORTIVO ALAVES,4-3-3,78.5,55.83,64.0,64.58,26,8,20
60,2019-09-27,79.67,63.75,61.17,71.33,4-4-2,VILLARREAL,G,5,1,P,REAL BETIS,4-4-2,71.67,68.2,69.25,64.89,12,9,17
