,nombre,equipo,posicion,valor_en_M,ritmo,tiro,pase,regate,defensa,fisico,salto,estirada,parada,saque,colocacion,reflejo
0,J. OBLAK,ATLETICO DE MADRID,PORTERO,['80.73'],,,,,,,78.0,87.0,92.0,78.0,90.0,90.0
1,I. GRBIC,ATLETICO DE MADRID,PORTERO,,,,,,,,60.5,76.0,79.5,73.0,77.0,78.0
2,SAN ROMAN,ATLETICO DE MADRID,PORTERO,['0.29'],,,,,,,43.0,65.0,67.0,68.0,64.0,66.0
3,K. TRIPPIER,ATLETICO DE MADRID,DEFENSA,['26.34'],74.0,74.0,82.0,76.0,65.0,76.0,,,,,,
4,J. GIMENEZ,ATLETICO DE MADRID,DEFENSA,['53.99'],72.0,46.0,53.0,61.0,56.0,73.0,,,,,,
5,S. SAVIC,ATLETICO DE MADRID,DEFENSA,['17.93'],62.0,33.0,50.0,59.0,54.0,71.0,,,,,,
6,RENAN LODI,ATLETICO DE MADRID,DEFENSA,['20.40'],84.0,68.0,77.0,83.0,65.0,79.0,,,,,,
7,FELIPE,ATLETICO DE MADRID,DEFENSA,['7.28'],62.0,39.0,54.0,61.0,56.0,79.0,,,,,,
8,M. HERMOSO,ATLETICO DE MADRID,DEFENSA,['13.03'],85.0,49.0,61.0,73.0,73.0,75.0,,,,,,
9,RICARD SANCHEZ,ATLETICO DE MADRID,DEFENSA,,72.14285714285714,51.285714285714285,61.857142857142854,68.0,60.285714285714285,73.71428571428571,,,,,,
10,S. VRSALJKO,ATLETICO DE MADRID,DEFENSA,,72.14285714285714,51.285714285714285,61.857142857142854,68.0,60.285714285714285,73.71428571428571,,,,,,
11,ALVARO,ATLETICO DE MADRID,DEFENSA,['0.58'],66.0,50.0,56.0,63.0,53.0,63.0,,,,,,
12,M. LLORENTE,ATLETICO DE MADRID,CENTROCAMPISTA,['38.96'],87.0,72.0,80.0,83.0,65.0,81.0,,,,,,
13,KOKE,ATLETICO DE MADRID,CENTROCAMPISTA,['51.23'],67.0,76.0,85.0,76.0,66.0,78.0,,,,,,
14,T. LEMAR,ATLETICO DE MADRID,CENTROCAMPISTA,['17.25'],80.0,80.0,81.0,85.0,59.0,74.0,,,,,,
15,L. TORREIRA,ATLETICO DE MADRID,CENTROCAMPISTA,['15.35'],76.0,72.0,73.0,80.0,67.0,73.0,,,,,,
16,G. KONDOGBIA,ATLETICO DE MADRID,CENTROCAMPISTA,['10.33'],69.0,70.0,73.0,74.0,64.0,81.0,,,,,,
17,SAUL,ATLETICO DE MADRID,CENTROCAMPISTA,['17.24'],71.0,74.0,78.0,77.0,64.0,80.0,,,,,,
18,H. HERRERA,ATLETICO DE MADRID,CENTROCAMPISTA,['12.36'],72.0,71.0,74.0,75.0,64.0,81.0,,,,,,
19,MARIO SORIANO,ATLETICO DE MADRID,CENTROCAMPISTA,,72.875,70.25,75.25,76.75,62.5,75.875,,,,,,
20,TONI MOYA,ATLETICO DE MADRID,CENTROCAMPISTA,['2.21'],61.0,47.0,58.0,64.0,51.0,59.0,,,,,,
21,O. CASTRO,ATLETICO DE MADRID,CENTROCAMPISTA,,72.875,70.25,75.25,76.75,62.5,75.875,,,,,,
22,L. SUAREZ,ATLETICO DE MADRID,DELANTERO,['5.94'],71.0,87.0,82.0,79.0,49.0,80.0,,,,,,
23,Y. CARRASCO,ATLETICO DE MADRID,DELANTERO,['44.32'],87.0,79.0,77.0,85.0,46.0,75.0,,,,,,
24,JOAO FELIX,ATLETICO DE MADRID,DELANTERO,['52.57'],82.0,78.0,77.0,85.0,47.0,76.0,,,,,,
25,M. DEMBELE,ATLETICO DE MADRID,DELANTERO,['20.81'],80.0,62.0,58.0,76.0,34.0,75.0,,,,,,
26,A. CORREA,ATLETICO DE MADRID,DELANTERO,['18.11'],84.0,79.0,76.0,87.0,53.0,74.0,,,,,,
27,S. CAMELLO,ATLETICO DE MADRID,DELANTERO,['10.12'],69.0,59.0,51.0,66.0,32.0,57.0,,,,,,
28,VITOLO,ATLETICO DE MADRID,DELANTERO,['0.88'],76.0,73.0,77.0,76.0,35.0,73.0,,,,,,
29,T. COURTOIS,REAL MADRID,PORTERO,['84.00'],,,,,,,68.0,84.0,89.0,74.0,86.0,88.0
30,A. LUNIN,REAL MADRID,PORTERO,['3.75'],,,,,,,56.0,72.0,71.0,74.0,75.0,77.0
31,LUIS LOPEZ,REAL MADRID,PORTERO,,,,,,,,59.0,73.0,73.33333333333333,70.33333333333333,74.0,77.0
32,LUCAS CANIZARES,REAL MADRID,PORTERO,,,,,,,,59.0,73.0,73.33333333333333,70.33333333333333,74.0,77.0
33,DIEGO ALTUBE,REAL MADRID,PORTERO,['1.13'],,,,,,,53.0,63.0,60.0,63.0,61.0,66.0
34,R. VARANE,REAL MADRID,DEFENSA,['76.26'],82.0,49.0,60.0,69.0,59.0,78.0,,,,,,
35,SERGIO RAMOS,REAL MADRID,DEFENSA,['1.17'],71.0,72.0,75.0,75.0,68.0,86.0,,,,,,
36,EDER MILITAO,REAL MADRID,DEFENSA,['65.15'],81.0,48.0,67.0,72.0,62.0,80.0,,,,,,
37,F. MENDY,REAL MADRID,DEFENSA,['31.63'],92.0,58.0,77.0,82.0,67.0,82.0,,,,,,
38,CARVAJAL,REAL MADRID,DEFENSA,['39.61'],80.0,57.0,78.0,80.0,68.0,81.0,,,,,,
39,NACHO,REAL MADRID,DEFENSA,['8.70'],78.0,42.0,63.0,69.0,60.0,77.0,,,,,,
40,LUCAS VAZQUEZ,REAL MADRID,DEFENSA,['10.12'],82.0,74.0,80.0,81.0,61.0,76.0,,,,,,
41,MARCELO,REAL MADRID,DEFENSA,['4.05'],78.0,73.0,81.0,85.0,66.0,74.0,,,,,,
42,V. CHUST,REAL MADRID,DEFENSA,,80.88888888888889,58.44444444444444,72.55555555555556,76.66666666666667,63.666666666666664,78.33333333333333,,,,,,
43,MIGUEL GUTIERREZ,REAL MADRID,DEFENSA,,80.88888888888889,58.44444444444444,72.55555555555556,76.66666666666667,63.666666666666664,78.33333333333333,,,,,,
44,A. ODRIOZOLA,REAL MADRID,DEFENSA,['4.91'],84.0,53.0,72.0,77.0,62.0,71.0,,,,,,
45,PABLO RAMON,REAL MADRID,DEFENSA,,80.88888888888889,58.44444444444444,72.55555555555556,76.66666666666667,63.666666666666664,78.33333333333333,,,,,,
46,SANTOS,REAL MADRID,DEFENSA,,80.88888888888889,58.44444444444444,72.55555555555556,76.66666666666667,63.666666666666664,78.33333333333333,,,,,,
47,L. MODRIC,REAL MADRID,CENTROCAMPISTA,['0.23'],73.0,80.0,88.0,86.0,66.0,77.0,,,,,,
48,T. KROOS,REAL MADRID,CENTROCAMPISTA,['27.22'],54.0,85.0,90.0,72.0,60.0,66.0,,,,,,
49,CASEMIRO,REAL MADRID,CENTROCAMPISTA,['51.32'],65.0,73.0,74.0,67.0,67.0,83.0,,,,,,
50,F. VALVERDE,REAL MADRID,CENTROCAMPISTA,['56.18'],86.0,73.0,77.0,80.0,64.0,77.0,,,,,,
51,ISCO,REAL MADRID,CENTROCAMPISTA,['7.25'],70.0,76.0,82.0,85.0,57.0,68.0,,,,,,
52,S. ARRIBAS,REAL MADRID,CENTROCAMPISTA,,69.6,77.4,82.2,78.0,62.8,74.2,,,,,,
53,BLANCO,REAL MADRID,CENTROCAMPISTA,,69.6,77.4,82.2,78.0,62.8,74.2,,,,,,
54,K. BENZEMA,REAL MADRID,DELANTERO,['34.01'],75.0,81.0,80.0,83.0,40.0,81.0,,,,,,
55,VINICIUS JR.,REAL MADRID,DELANTERO,['99.45'],95.0,70.0,72.0,91.0,38.0,77.0,,,,,,
56,RODRYGO,REAL MADRID,DELANTERO,['35.42'],87.0,72.0,71.0,85.0,43.0,72.0,,,,,,
57,M. ASENSIO,REAL MADRID,DELANTERO,['24.50'],85.0,82.0,83.0,84.0,51.0,70.0,,,,,,
58,E. HAZARD,REAL MADRID,DELANTERO,['16.44'],87.0,81.0,82.0,90.0,44.0,73.0,,,,,,
59,HUGO DURO,REAL MADRID,DELANTERO,['14.97'],74.0,52.0,42.0,71.0,33.0,64.0,,,,,,
60,MARIANO,REAL MADRID,DELANTERO,['2.35'],77.0,77.0,61.0,75.0,45.0,79.0,,,,,,
61,MARVIN,REAL MADRID,DELANTERO,,82.85714285714286,73.57142857142857,70.14285714285714,82.71428571428571,42.0,73.71428571428571,,,,,,
62,O. ARANDA,REAL MADRID,DELANTERO,,82.85714285714286,73.57142857142857,70.14285714285714,82.71428571428571,42.0,73.71428571428571,,,,,,
63,M. TER STEGEN,FC BARCELONA,PORTERO,['36.42'],,,,,,,79.0,88.0,85.0,88.0,88.0,90.0
64,NETO,FC BARCELONA,PORTERO,['2.68'],,,,,,,83.0,83.0,79.0,78.0,79.0,81.0
65,INAKI PENA,FC BARCELONA,PORTERO,['2.94'],,,,,,,64.0,66.0,64.0,67.0,65.0,69.0
66,ARNAU TENAS,FC BARCELONA,PORTERO,,,,,,,,75.33333333333333,79.0,76.0,77.66666666666667,77.33333333333333,80.0
67,JORDI ALBA,FC BARCELONA,DEFENSA,['36.43'],87.0,67.0,81.0,86.0,68.0,80.0,,,,,,
68,G. PIQUE,FC BARCELONA,DEFENSA,['5.19'],57.0,54.0,70.0,63.0,59.0,75.0,,,,,,
69,R. ARAUJO,FC BARCELONA,DEFENSA,['37.86'],72.0,37.0,46.0,55.0,49.0,66.0,,,,,,
70,C. LENGLET,FC BARCELONA,DEFENSA,['16.89'],74.0,46.0,66.0,67.0,61.0,77.0,,,,,,
71,S. DEST,FC BARCELONA,DEFENSA,['36.62'],88.0,56.0,72.0,85.0,60.0,72.0,,,,,,
72,SERGI ROBERTO,FC BARCELONA,DEFENSA,['11.79'],76.0,64.0,80.0,75.0,62.0,70.0,,,,,,
73,O. MINGUEZA,FC BARCELONA,DEFENSA,,75.25,56.5,69.25,71.25,60.0,73.25,,,,,,
74,S. UMTITI,FC BARCELONA,DEFENSA,['4.76'],66.0,70.0,68.0,65.0,60.0,73.0,,,,,,
75,JUNIOR FIRPO,FC BARCELONA,DEFENSA,['2.00'],82.0,58.0,71.0,74.0,61.0,73.0,,,,,,
76,RAMOS MINGO,FC BARCELONA,DEFENSA,,75.25,56.5,69.25,71.25,60.0,73.25,,,,,,
77,F. DE JONG,FC BARCELONA,CENTROCAMPISTA,['93.39'],81.0,70.0,84.0,85.0,65.0,82.0,,,,,,
78,PEDRI,FC BARCELONA,CENTROCAMPISTA,['81.44'],81.0,58.0,74.0,83.0,59.0,70.0,,,,,,
79,S. BUSQUETS,FC BARCELONA,CENTROCAMPISTA,['15.88'],42.0,59.0,76.0,68.0,63.0,74.0,,,,,,
80,M. PJANIC,FC BARCELONA,CENTROCAMPISTA,['8.69'],67.0,82.0,84.0,78.0,62.0,71.0,,,,,,
81,ILAIX MORIBA,FC BARCELONA,CENTROCAMPISTA,,67.42857142857143,65.28571428571429,75.28571428571429,76.0,57.857142857142854,70.14285714285714,,,,,,
82,RIQUI PUIG,FC BARCELONA,CENTROCAMPISTA,['3.75'],68.0,58.0,74.0,79.0,52.0,67.0,,,,,,
83,ALEX COLLADO,FC BARCELONA,CENTROCAMPISTA,['4.70'],65.0,68.0,70.0,68.0,50.0,54.0,,,,,,
84,M. FERNANDES,FC BARCELONA,CENTROCAMPISTA,['2.61'],68.0,62.0,65.0,71.0,54.0,73.0,,,,,,
85,L. MESSI,FC BARCELONA,DELANTERO,['17.69'],86.0,91.0,91.0,94.0,48.0,79.0,,,,,,
86,A. GRIEZMANN,FC BARCELONA,DELANTERO,['82.39'],80.0,84.0,84.0,86.0,54.0,84.0,,,,,,
87,O. DEMBELE,FC BARCELONA,DELANTERO,['30.81'],94.0,76.0,79.0,89.0,43.0,69.0,,,,,,
88,P. COUTINHO,FC BARCELONA,DELANTERO,['17.30'],73.0,84.0,82.0,87.0,54.0,71.0,,,,,,
89,M. BRAITHWAITE,FC BARCELONA,DELANTERO,['12.92'],80.0,74.0,70.0,79.0,40.0,77.0,,,,,,
90,TRINCAO,FC BARCELONA,DELANTERO,['17.15'],80.0,70.0,73.0,83.0,40.0,75.0,,,,,,
91,ANSU FATI,FC BARCELONA,DELANTERO,['16.39'],89.0,61.0,68.0,84.0,38.0,70.0,,,,,,
92,KONRAD,FC BARCELONA,DELANTERO,,83.14285714285714,77.14285714285714,78.14285714285714,86.0,45.285714285714285,75.0,,,,,,
93,BONO,SEVILLA FC,PORTERO,['32.81'],,,,,,,48.0,79.0,78.0,75.0,77.0,81.0
94,T. VACLIK,SEVILLA FC,PORTERO,['12.47'],,,,,,,73.0,82.0,76.0,75.0,80.0,83.0
95,ALFONSO PASTOR,SEVILLA FC,PORTERO,,,,,,,,63.0,76.0,71.66666666666667,71.66666666666667,73.33333333333333,77.33333333333333
96,JAVI DIAZ,SEVILLA FC,PORTERO,['0.40'],,,,,,,68.0,67.0,61.0,65.0,63.0,68.0
97,DIEGO CARLOS,SEVILLA FC,DEFENSA,['27.33'],77.0,56.0,59.0,71.0,59.0,78.0,,,,,,
98,J. KOUNDE,SEVILLA FC,DEFENSA,['81.36'],79.0,38.0,61.0,73.0,63.0,80.0,,,,,,
99,M. ACUNA,SEVILLA FC,DEFENSA,['30.67'],76.0,79.0,83.0,83.0,68.0,80.0,,,,,,
100,J. NAVAS,SEVILLA FC,DEFENSA,['0.66'],87.0,70.0,80.0,85.0,68.0,70.0,,,,,,
101,SERGI GOMEZ,SEVILLA FC,DEFENSA,['7.68'],62.0,44.0,61.0,62.0,56.0,71.0,,,,,,
